timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1562844581961,289,Merchant customer login,200,OK,Thread Group 1-1,text,true,,421,855,2,2,https://api-sandbox-2.epaylater.in/api/v1/merchant/customer/login,289,0,203
1562844582152,262,Merchant customer login,200,OK,Thread Group 1-2,text,true,,421,828,2,2,https://api-sandbox-2.epaylater.in/api/v1/merchant/customer/login,262,0,190
1562844582351,255,Merchant customer login,200,OK,Thread Group 1-3,text,true,,421,827,2,2,https://api-sandbox-2.epaylater.in/api/v1/merchant/customer/login,255,0,181
1562844582556,235,Merchant customer login,200,OK,Thread Group 1-4,text,true,,421,823,2,2,https://api-sandbox-2.epaylater.in/api/v1/merchant/customer/login,235,0,164
1562844582759,274,Merchant customer login,200,OK,Thread Group 1-5,text,true,,421,826,1,1,https://api-sandbox-2.epaylater.in/api/v1/merchant/customer/login,274,0,193
